nome_comum,bioma,habito_alimentar,status_conservacao,envergadura_asa_cm,peso_kg,nome_cientifico,tamanho_cm,distribuicao_geografica,periodo_atividade,habitat_preferido
Cisne-Pardo,Cerrado,Onívoro,Quase Ameaçado,160,4.0,Cygnus olor,150,Cerrado,Diurno,Lagos e áreas alagadas
Cegonha,Amazônia,Carnívoro,Em Perigo,190,5.5,Ciconia ciconia,160,Amazônia,Diurno,Áreas alagadas
Gavião-Carijó,Cerrado,Carnívoro,Quase Ameaçado,180,2.0,Buteo magnirostris,50,Cerrado,Diurno,Áreas abertas
Irapuru,Amazônia,Insectívoro,Pouco Preocupante,30,0.09,Iridophora sapphira,35,Amazônia,Diurno,Florestas tropicais
Uruçu,Amazônia,Frugívoro,Em Perigo,120,1.7,Psarocolius decumanus,50,Amazônia,Diurno,Florestas tropicais
Atum,Pantanal,Carnívoro,Pouco Preocupante,200,6.3,Pelecanus occidentalis,180,Pantanal,Diurno,Áreas alagadas
Búfalo-do-rio,Amazônia,Onívoro,Quase Ameaçado,180,3.0,Bubalus bubalis,160,Amazônia,Diurno,Lagos e rios
Jaburu,Pantanal,Carnívoro,Em Perigo,210,8.0,Mycteria americana,250,Pantanal,Diurno,Áreas alagadas
Macuco,Mata Atlântica,Onívoro,Pouco Preocupante,50,0.8,Aburria aburri,40,Mata Atlântica,Diurno,Florestas densas
Avoante,Pantanal,Insectívoro,Pouco Preocupante,15,0.05,Attagenus flaviventris,20,Pantanal,Diurno,Campos abertos
Vira-lata,Cerrado,Onívoro,Pouco Preocupante,40,0.25,Avestruz vulgaris,35,Cerrado,Diurno,Áreas abertas e matas
Guariba,Mata Atlântica,Frugívoro,Em Perigo,100,4.0,Alouatta guariba,60,Mata Atlântica,Diurno,Florestas densas
Galo-da-serra,Amazônia,Granívoro,Pouco Preocupante,60,2.0,Phasianus colchicus,55,Amazônia,Diurno,Florestas densas
Maritaca,Pantanal,Frugívoro,Pouco Preocupante,50,0.6,Psittacara leucophthalmus,40,Pantanal,Diurno,Áreas florestais
Papagaio-do-pará,Amazônia,Frugívoro,Vulnerável,50,0.6,Amazona festiva,40,Amazônia,Diurno,Florestas tropicais
Catarina,Cerrado,Insectívoro,Em Perigo,60,0.25,Phylloscopus collybita,45,Cerrado,Diurno,Áreas arbustivas
Ibis,Amazônia,Carnívoro,Pouco Preocupante,120,3.2,Eudocimus ruber,130,Amazônia,Diurno,Áreas alagadas
Ema,Pantanal,Carnívoro,Pouco Preocupante,180,5.0,Rhea americana,140,Pantanal,Diurno,Campos abertos e áreas alagadas
